EXID,Rank,Similar_EXID,Similarity
1,1,44,0.2014
1,2,2,0.1841
1,3,13,0.1629
1,4,8,0.1563
1,5,31,0.1535
2,1,60,0.2258
2,2,1,0.1841
2,3,92,0.1801
2,4,96,0.1756
2,5,95,0.1751
3,1,51,0.2335
3,2,58,0.1777
3,3,49,0.1748
3,4,85,0.1667
3,5,30,0.1653
4,1,87,0.2368
4,2,40,0.1882
4,3,26,0.1781
4,4,83,0.1707
4,5,96,0.1587
5,1,42,0.2957
5,2,77,0.272
5,3,47,0.2481
5,4,17,0.218
5,5,35,0.2175
6,1,100,0.319
6,2,67,0.2297
6,3,46,0.2076
6,4,79,0.1955
6,5,22,0.1794
7,1,20,0.2641
7,2,12,0.2082
7,3,56,0.2022
7,4,52,0.1769
7,5,44,0.1722
8,1,36,0.1949
8,2,44,0.1686
8,3,34,0.1618
8,4,11,0.1608
8,5,1,0.1563
9,1,14,0.2072
9,2,58,0.174
9,3,38,0.1722
9,4,76,0.1531
9,5,88,0.1376
10,1,60,0.1914
10,2,100,0.1849
10,3,30,0.1794
10,4,17,0.1726
10,5,81,0.1542
11,1,36,0.2976
11,2,25,0.2227
11,3,97,0.2045
11,4,30,0.1864
11,5,22,0.1632
12,1,88,0.2777
12,2,43,0.2359
12,3,7,0.2082
12,4,78,0.1653
12,5,100,0.1557
13,1,75,0.2853
13,2,51,0.2125
13,3,38,0.2124
13,4,71,0.2103
13,5,78,0.1894
14,1,9,0.2072
14,2,76,0.1823
14,3,17,0.1623
14,4,60,0.1619
14,5,54,0.1591
15,1,7,0.1424
15,2,22,0.1399
15,3,36,0.1385
15,4,55,0.1298
15,5,8,0.127
16,1,53,0.2264
16,2,67,0.1921
16,3,20,0.1917
16,4,91,0.1913
16,5,74,0.1892
17,1,18,0.2991
17,2,42,0.2556
17,3,47,0.2479
17,4,89,0.2216
17,5,31,0.2187
18,1,17,0.2991
18,2,77,0.1924
18,3,55,0.1832
18,4,68,0.1616
18,5,59,0.1414
19,1,99,0.2549
19,2,67,0.2285
19,3,96,0.2006
19,4,33,0.1762
19,5,24,0.1761
20,1,7,0.2641
20,2,45,0.2633
20,3,73,0.2595
20,4,46,0.2524
20,5,74,0.1986
21,1,74,0.2808
21,2,56,0.1723
21,3,87,0.1692
21,4,7,0.162
21,5,48,0.1556
22,1,52,0.2419
22,2,92,0.201
22,3,89,0.1852
22,4,74,0.1812
22,5,6,0.1794
23,1,68,0.1584
23,2,36,0.1462
23,3,75,0.1402
23,4,82,0.139
23,5,21,0.1386
24,1,19,0.1761
24,2,52,0.1622
24,3,6,0.161
24,4,11,0.1597
24,5,83,0.1514
25,1,11,0.2227
25,2,49,0.1906
25,3,7,0.1656
25,4,4,0.1495
25,5,12,0.1467
26,1,75,0.3861
26,2,57,0.2078
26,3,96,0.1824
26,4,4,0.1781
26,5,51,0.1776
27,1,31,0.1698
27,2,82,0.1586
27,3,47,0.1474
27,4,24,0.1423
27,5,21,0.1358
28,1,100,0.2387
28,2,62,0.1883
28,3,96,0.1821
28,4,43,0.1657
28,5,2,0.1536
29,1,64,0.2366
29,2,43,0.1658
29,3,86,0.1656
29,4,19,0.1631
29,5,96,0.156
30,1,51,0.2
30,2,11,0.1864
30,3,10,0.1794
30,4,3,0.1653
30,5,66,0.1265
31,1,47,0.4949
31,2,42,0.2955
31,3,35,0.219
31,4,17,0.2187
31,5,78,0.189
32,1,98,0.1884
32,2,85,0.1861
32,3,53,0.1811
32,4,83,0.1809
32,5,68,0.1682
33,1,19,0.1762
33,2,29,0.144
33,3,51,0.1429
33,4,5,0.1421
33,5,7,0.1408
34,1,67,0.1963
34,2,73,0.1931
34,3,76,0.1786
34,4,44,0.1765
34,5,46,0.1727
35,1,42,0.3242
35,2,31,0.219
35,3,5,0.2175
35,4,68,0.2136
35,5,47,0.1986
36,1,11,0.2976
36,2,61,0.2315
36,3,8,0.1949
36,4,95,0.1788
36,5,78,0.1553
37,1,46,0.2272
37,2,20,0.1738
37,3,49,0.173
37,4,34,0.1612
37,5,73,0.159
38,1,76,0.2836
38,2,13,0.2124
38,3,52,0.2108
38,4,43,0.2064
38,5,9,0.1722
39,1,78,0.1884
39,2,96,0.1723
39,3,40,0.1669
39,4,58,0.1643
39,5,83,0.1447
40,1,93,0.2081
40,2,97,0.205
40,3,4,0.1882
40,4,39,0.1669
40,5,62,0.1635
41,1,86,0.2938
41,2,62,0.2111
41,3,52,0.1963
41,4,95,0.1771
41,5,92,0.1767
42,1,35,0.3242
42,2,5,0.2957
42,3,31,0.2955
42,4,17,0.2556
42,5,47,0.2318
43,1,12,0.2359
43,2,100,0.2353
43,3,63,0.2169
43,4,38,0.2064
43,5,90,0.193
44,1,96,0.2292
44,2,67,0.2125
44,3,73,0.2096
44,4,1,0.2014
44,5,46,0.1777
45,1,66,0.301
45,2,20,0.2633
45,3,73,0.2508
45,4,46,0.2448
45,5,67,0.208
46,1,67,0.4615
46,2,69,0.367
46,3,73,0.2805
46,4,20,0.2524
46,5,96,0.245
47,1,31,0.4949
47,2,77,0.3341
47,3,5,0.2481
47,4,17,0.2479
47,5,42,0.2318
48,1,68,0.1969
48,2,83,0.1623
48,3,21,0.1556
48,4,12,0.1464
48,5,44,0.1312
49,1,67,0.2094
49,2,25,0.1906
49,3,3,0.1748
49,4,37,0.173
49,5,80,0.1636
50,1,56,0.2122
50,2,65,0.2078
50,3,61,0.1781
50,4,79,0.1633
50,5,6,0.156
51,1,75,0.2543
51,2,3,0.2335
51,3,13,0.2125
51,4,30,0.2
51,5,66,0.1927
52,1,86,0.2484
52,2,22,0.2419
52,3,38,0.2108
52,4,72,0.1965
52,5,41,0.1963
53,1,16,0.2264
53,2,79,0.2186
53,3,84,0.2126
53,4,32,0.1811
53,5,69,0.1784
54,1,95,0.2129
54,2,89,0.2034
54,3,14,0.1591
54,4,99,0.1502
54,5,85,0.1498
55,1,77,0.2195
55,2,18,0.1832
55,3,68,0.1748
55,4,5,0.1323
55,5,31,0.1299
56,1,50,0.2122
56,2,7,0.2022
56,3,65,0.1849
56,4,66,0.1808
56,5,21,0.1723
57,1,26,0.2078
57,2,2,0.1671
57,3,75,0.1624
57,4,90,0.1572
57,5,12,0.1509
58,1,61,0.1864
58,2,3,0.1777
58,3,82,0.1743
58,4,9,0.174
58,5,39,0.1643
59,1,65,0.1678
59,2,75,0.1657
59,3,2,0.1544
